,tier,game_duration,winner,first_kill,first_tower,first_inhibitor,first_baron,first_dragon,first_rift_herald,kill_advantage,gold_advantage,cs_advantage,damage_advantage,tower_advantage,plate_advantage,inhibitor_advantage,dragon_advantage,rift_advantage
10952,BRONZE,1640,-1.0,-1.0,-1.0,-1.0,0.0,1.0,-1.0,-4,-3647,-49,-6833,0,6,0,2,0
4238,BRONZE,2016,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,1,1536,27,483,-1,-4,0,2,1
3380,BRONZE,1384,1.0,1.0,1.0,1.0,0.0,-1.0,0.0,2,2572,9,4365,-1,-6,0,-1,0
1586,BRONZE,1952,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-7,-4568,7,-11329,1,9,0,-1,0
12958,BRONZE,1813,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-3836,-119,-2541,0,1,0,0,0
1161,BRONZE,1710,-1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1,-1324,26,940,0,-2,0,0,-1
11483,BRONZE,2414,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1,-2163,-70,-2063,0,7,0,1,0
5450,BRONZE,2015,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,3,3157,62,2915,-1,-5,0,0,1
3772,BRONZE,2075,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,3,112,-17,4329,0,1,0,-1,-1
58,BRONZE,1625,1.0,1.0,1.0,1.0,0.0,1.0,1.0,10,6785,93,16100,-1,-10,0,1,1
28147,BRONZE,2286,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,0,1050,18,1120,0,1,0,1,0
7348,BRONZE,2289,-1.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,2,3937,62,2544,0,1,0,1,0
5699,BRONZE,3126,-1.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1,-1169,-1,-7813,0,4,0,1,0
3155,BRONZE,2296,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-3,-227,14,-6687,0,0,0,-1,0
10776,BRONZE,2305,-1.0,1.0,-1.0,-1.0,1.0,1.0,1.0,-3,-2981,-34,-3942,0,3,0,1,1
34793,BRONZE,1538,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-3,-6562,-65,-5835,1,10,0,0,-1
15544,BRONZE,2450,1.0,1.0,-1.0,1.0,0.0,1.0,1.0,0,-886,-68,-4637,0,7,0,1,0
21115,BRONZE,1178,1.0,-1.0,1.0,1.0,0.0,1.0,1.0,8,5549,94,3667,0,-6,0,1,0
10125,BRONZE,1957,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3,1817,-7,7714,0,-3,0,1,0
11146,BRONZE,2579,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-6,-2479,-44,-7376,0,2,0,-2,-1
26421,BRONZE,1582,1.0,1.0,1.0,1.0,0.0,1.0,1.0,7,1650,-9,739,0,-1,0,1,1
3959,BRONZE,1667,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,1.0,-2,1225,24,173,0,-1,0,-1,1
3541,BRONZE,1599,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1,-2388,-28,-157,0,0,0,2,0
3567,BRONZE,1966,1.0,1.0,-1.0,-1.0,-1.0,1.0,1.0,5,2628,30,2982,0,-2,0,0,1
8390,BRONZE,1097,-1.0,1.0,-1.0,0.0,0.0,1.0,1.0,0,-1164,-15,-11540,0,8,0,1,0
11474,BRONZE,1659,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0,-2065,-18,-8962,0,1,0,-1,0
7947,BRONZE,1668,-1.0,1.0,1.0,-1.0,0.0,1.0,1.0,0,1739,92,-1644,0,0,0,2,0
18546,BRONZE,1585,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-6,-2629,-52,-2941,1,6,0,-1,-1
14281,BRONZE,1062,-1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0,-14,-6898,-33,-8592,0,3,0,-1,-1
12352,BRONZE,2315,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1,-2878,-16,-2723,0,2,0,2,-1
1237,BRONZE,1962,1.0,-1.0,1.0,1.0,0.0,-1.0,-1.0,-4,2323,113,4569,0,-1,0,-2,-1
2899,BRONZE,2421,1.0,-1.0,-1.0,1.0,1.0,-1.0,1.0,0,29,-53,-1149,1,2,0,-1,1
1330,BRONZE,1741,1.0,1.0,1.0,1.0,0.0,1.0,-1.0,4,2364,6,7662,0,0,0,1,0
10293,BRONZE,2285,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1,947,-5,122,1,-3,0,2,0
26482,BRONZE,2713,1.0,1.0,1.0,-1.0,-1.0,-1.0,-1.0,7,6491,-14,11961,-1,-6,0,-1,-1
217,BRONZE,1808,1.0,1.0,1.0,1.0,0.0,1.0,1.0,9,3172,8,8892,0,-1,0,1,0
13356,BRONZE,2058,1.0,-1.0,1.0,1.0,1.0,1.0,1.0,-6,-503,52,-1694,-1,-6,0,1,1
28844,BRONZE,2013,1.0,1.0,-1.0,1.0,1.0,-1.0,-1.0,-2,235,3,6295,0,3,0,-1,0
7465,BRONZE,1808,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,5,2274,50,-2172,0,4,0,1,-1
19082,BRONZE,1662,-1.0,-1.0,1.0,0.0,0.0,-1.0,1.0,-8,-970,18,-3644,-1,-1,0,-1,1
23637,BRONZE,1482,1.0,-1.0,1.0,1.0,1.0,-1.0,1.0,2,4022,44,6985,-1,-6,0,-1,1
18518,BRONZE,1928,-1.0,-1.0,1.0,1.0,-1.0,1.0,1.0,3,916,4,1679,-1,-4,0,1,1
5922,BRONZE,1301,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,0.0,-13,-5409,-52,-6952,1,5,0,-1,0
2979,BRONZE,1639,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-4,-1874,3,-5648,1,7,0,-2,0
7921,BRONZE,2190,-1.0,-1.0,1.0,1.0,-1.0,-1.0,-1.0,1,165,5,4348,0,-1,0,-1,0
6858,BRONZE,2030,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-10,-6445,-29,-12553,0,6,0,-1,-1
3130,BRONZE,1317,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7,9961,168,8566,-4,-14,0,0,1
6140,BRONZE,1791,-1.0,1.0,-1.0,-1.0,0.0,-1.0,-1.0,-9,-5470,10,-14351,1,6,0,0,-1
11345,BRONZE,1841,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,-6,-4780,-26,-9258,1,9,0,-2,0
14350,BRONZE,2214,-1.0,-1.0,-1.0,-1.0,0.0,1.0,-1.0,-14,-8983,-105,-14737,1,9,0,0,-1
14039,BRONZE,1515,1.0,1.0,1.0,1.0,0.0,1.0,1.0,4,7507,103,9022,-2,-14,0,0,1
4767,BRONZE,1252,1.0,1.0,1.0,0.0,0.0,1.0,1.0,7,7463,101,13852,-1,-10,0,2,1
774,BRONZE,2290,-1.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,-2,1517,45,8242,0,1,0,0,-1
16798,BRONZE,1061,1.0,1.0,1.0,0.0,0.0,1.0,-1.0,9,4617,65,1660,0,-1,0,2,0
6393,BRONZE,1477,1.0,1.0,1.0,1.0,0.0,1.0,1.0,7,4518,25,4888,-1,-6,0,2,1
8283,BRONZE,1385,1.0,1.0,1.0,1.0,0.0,-1.0,1.0,7,6230,72,3871,0,-5,0,-1,0
