,tier,game_duration,winner,first_kill,first_tower,first_inhibitor,first_baron,first_dragon,first_rift_herald,kill_advantage,gold_advantage,cs_advantage,damage_advantage,tower_advantage,plate_advantage,inhibitor_advantage,dragon_advantage,rift_advantage
12194,BRONZE,1631,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,1.0,-1,-1,-1,1,0,1,0,-1,1
370,BRONZE,1202,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1,-1,-1,-1,1,1,0,-1,-1
1542,BRONZE,1421,1.0,-1.0,1.0,0.0,0.0,1.0,0.0,1,1,-1,1,0,0,0,1,0
12378,BRONZE,1513,-1.0,-1.0,-1.0,-1.0,0.0,1.0,-1.0,1,-1,1,1,0,1,0,1,0
16920,BRONZE,1533,1.0,1.0,-1.0,1.0,1.0,-1.0,1.0,1,1,-1,1,0,1,0,-1,1
925,BRONZE,1516,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,-1,-1,0,0,0,-1,-1
11186,BRONZE,1539,-1.0,1.0,-1.0,-1.0,0.0,-1.0,1.0,-1,-1,-1,-1,1,1,0,-1,1
10360,BRONZE,1776,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1,1,-1,1,1,0,-1,-1
8112,BRONZE,1203,1.0,1.0,-1.0,0.0,0.0,-1.0,-1.0,1,1,-1,1,0,1,0,-1,-1
9014,BRONZE,1619,-1.0,1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1,1,1,-1,0,1,0,-1,0
2731,BRONZE,1512,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-1,-1,-1,-1,1,1,0,-1,-1
1863,BRONZE,2074,1.0,1.0,1.0,1.0,1.0,-1.0,-1.0,1,-1,-1,1,-1,0,0,-1,-1
5562,BRONZE,1503,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1,1,1,1,-1,-1,0,1,1
5064,BRONZE,2164,1.0,-1.0,1.0,1.0,1.0,1.0,-1.0,1,1,1,1,-1,-1,0,1,-1
318,BRONZE,1132,1.0,-1.0,1.0,1.0,0.0,1.0,1.0,1,1,1,1,0,-1,0,1,0
23604,BRONZE,1865,-1.0,1.0,-1.0,-1.0,0.0,1.0,-1.0,-1,-1,-1,-1,1,1,0,1,0
15322,BRONZE,1222,-1.0,-1.0,-1.0,0.0,0.0,-1.0,-1.0,-1,-1,-1,-1,1,1,0,-1,-1
2112,BRONZE,2762,1.0,1.0,-1.0,1.0,1.0,-1.0,-1.0,-1,1,1,-1,0,1,0,-1,-1
12148,BRONZE,2147,-1.0,1.0,-1.0,-1.0,0.0,-1.0,1.0,1,1,-1,1,0,1,0,-1,1
