,tier,winner,first_kill,first_tower,first_inhibitor,first_baron,first_dragon,first_rift_herald,kill_advantage,gold_advantage,cs_advantage,damage_advantage,tower_advantage,plate_advantage,inhibitor_advantage,dragon_advantage,rift_advantage,baron_advantage
6610,BRONZE,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,1.0,-14,-8460,16,-19443,-4,3,-1,-3,0,-1
14552,BRONZE,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-13,-14043,-58,-16458,-6,-7,0,-4,-2,0
26253,BRONZE,1.0,1.0,1.0,1.0,0.0,1.0,1.0,10,5920,177,12324,6,7,0,1,1,0
9209,BRONZE,1.0,1.0,1.0,-1.0,-1.0,1.0,1.0,6,4435,66,-4043,2,3,0,-1,1,0
5981,BRONZE,1.0,1.0,-1.0,1.0,-1.0,1.0,1.0,14,5722,-9,6127,5,1,0,3,1,0
8354,BRONZE,1.0,1.0,1.0,1.0,0.0,1.0,1.0,13,6597,2,-1688,4,4,1,-2,2,0
443,BRONZE,1.0,1.0,1.0,1.0,-1.0,1.0,1.0,7,6004,-3,1378,4,7,0,1,2,0
8394,BRONZE,1.0,-1.0,1.0,1.0,0.0,1.0,1.0,-3,7845,147,3374,9,2,2,3,2,0
18483,BRONZE,1.0,1.0,1.0,-1.0,1.0,-1.0,1.0,1,5040,120,14630,4,10,0,1,2,1
68,BRONZE,-1.0,-1.0,-1.0,-1.0,0.0,-1.0,-1.0,-20,-11029,-47,-25771,-8,-9,-1,-2,-1,0
6134,BRONZE,-1.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,-5,-2955,82,-13219,1,-1,0,4,-1,-1
4697,BRONZE,1.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,-5,-6120,-47,-13287,-4,-3,-1,-1,2,-1
19770,BRONZE,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-13,-7086,-87,-7655,-3,-8,0,0,-1,0
15014,BRONZE,-1.0,1.0,1.0,-1.0,0.0,-1.0,1.0,-20,-11577,-117,-7404,-3,-3,-1,-3,2,0
2326,BRONZE,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,-4,3794,5,15426,2,7,0,2,-1,0
