tournament_slug,game_id,match_id,patch,starting_time,game_number,blue_team,red_team,winner,blue_total_gold,blue_inhibitors,blue_towers,blue_barons,blue_total_kills,blue_dragons,blue_total_cs,red_total_gold,red_inhibitors,red_towers,red_barons,red_total_kills,red_dragons,red_total_cs
eu_masters_summer_2020,104727755403949154,104727755403949152,10.16,2020-09-20 16:53:30,2,GL,RGO,RGO,21016,0,0,0,0,0,485,29802,0,2,0,10,2,546
eu_masters_summer_2020,104727755403949155,104727755403949152,10.16,2020-09-20 17:36:00,3,RGO,GL,RGO,26966,0,2,0,8,1,449,22225,0,1,0,2,1,429
tal_2020_split1,103556721519400388,103556721519400387,10.2,2020-02-03 14:41:30,1,DPA,IWA,,21940,0,0,0,3,0,435,22806,0,1,0,2,1,474
tal_2020_split1,103556721519400332,103556721519400331,10.2,2020-02-03 15:48:20,1,FBA,5RA,FBA,22628,0,0,0,3,1,497,20963,0,0,0,0,1,496
tal_2020_split1,103556721519400376,103556721519400375,10.2,2020-02-03 17:02:10,1,GALA,BJKA,BJKA,21514,0,0,0,2,2,477,21238,0,0,0,2,0,445
tal_2020_split1,103556721519400400,103556721519400399,10.2,2020-02-04 15:08:30,1,IWA,RYLA,,18637,0,0,0,3,1,355,21854,0,1,0,7,0,390
tal_2020_split1,103556721519400366,103556721519400365,10.2,2020-02-04 16:00:50,1,GALA,FBA,FBA,19295,0,0,0,1,0,415,19540,0,0,0,4,1,390
tal_2020_split1,103556721519400352,103556721519400351,10.2,2020-02-04 16:55:10,1,AURA,SMBA,,23119,0,1,0,4,2,463,20372,0,0,0,0,0,465
tal_2020_split1,103556721519400392,103556721519400391,10.2,2020-02-06 14:04:40,1,RYLA,AURA,,19697,0,0,0,3,0,381,18380,0,0,0,1,2,388
tal_2020_split1,103556721519400348,103556721519400347,10.2,2020-02-06 14:57:10,1,SMBA,BJKA,,19541,0,0,0,1,1,392,21317,0,0,0,4,1,419
tal_2020_split1,103556721519400384,103556721519400383,10.2,2020-02-06 16:01:10,1,DPA,GALA,DPA,23718,0,1,0,2,0,500,22314,0,1,0,2,2,469
tal_2020_split1,103556721519400344,103556721519400343,10.2,2020-02-06 16:54:40,1,IWA,5RA,,22051,0,0,0,4,2,466,21894,0,1,0,2,0,434
tal_2020_split1,103556721519400342,103556721519400341,10.2,2020-02-07 14:11:40,1,5RA,RYLA,,20471,0,0,0,3,1,428,20877,0,0,0,5,1,380
tal_2020_split1,103556721519400346,103556721519400345,10.2,2020-02-07 15:04:40,1,FBA,SMBA,,18865,0,0,0,2,1,369,20949,0,1,0,3,1,395
tal_2020_split1,103556721519400374,103556721519400373,10.2,2020-02-07 15:56:50,1,BJKA,AURA,AURA,23470,0,0,0,8,1,418,18581,0,0,0,1,1,392
